Genus,Species,Notes,CURRENTLY.IN.DATASET,USE.FOR.EVO.RATES,Total.FibersL,Total.FibersR,Carapace.Width.mm,NFibers.X,NFibers.Y,ICS.placement,Function,Locality,Sex,ID,Folder,Suborder,Infraorder,Superfamily,Family (one for each),Figure,InPhylogeny
Nesticus,sylvestrii,,X,X,7,9,0.9585,2,7,2,,United States of America,female,CASENT9034644,20190430_151446_Nesticus_CASENT9034644_F_10X_20KV_z70,Opisthothelae,Araneomorphae,Araneoidea,Nesticidae,N_syl,Exact Match
Litodamus,sp.,,X,X,20,21,2.198,3,12,2,,Australia,female,CASENT9022973,Nicodamidae_sp_CASENT9022973,Opisthothelae,Araneomorphae,Nicodamoidea,Nicodamidae,Lit,Exact Match
Novanapis,spinipes,,X,X,7,8,0.5163,1,7,2,,New Zealand,female,CASENT9034646,20190425_213745_Anapid_Novanapis_CASENT9034646_F_10X_20keV_z80,Opisthothelae,Araneomorphae,Araneoidea,Anapidae,N_spi,Exact Match
Ochyroceratidae,sp.,,X,,10,8,0.7391,2,6,2,,,,CASENT9047504,20190425_175550_Ochyroceratidae_CASENT9047504_F_10X_20keV_z80_c,Opisthothelae,Araneomorphae,Synspermiata,Ochyroceratidae,Och,Ochyrocera
Oecobius,navus,,,X,,,,,,,,United States of America,female,CASENT9068220,20190426_055353_Oecobius_CASENT9050675_F_4X_20KeV_z80 or 20190430_191332_Oecobius_CASENT9068220_F_20kV_10X_z70,Opisthothelae,Araneomorphae,UDOH grade,Oecobiidae,O_nav,OecobiusNavus
Ommatauxesis,sp.,,X,,6,5,1.069,2,6,2,,,,CASENT9024502,20190430_205545_Ommatauxisis_CASENT9024502_F_20kV_4X_z70,Opisthothelae,Araneomorphae,RTA Clade,Toxopidae,Omm,CicurinaTravisae
Opopaea,sp.,,X,X,9,8,0.6731,2,6,2,,Madagascar,female,"CASENT9038442, PBI_OON00036113",20190502_115321_Opopea_PBIOON00036113_F_10X_20KV_z75,Opisthothelae,Araneomorphae,Synspermiata,Oonopidae,Opo,Exact Match
Orchestina,sp.,,X,,4,4,0.4976,2,3,2,,,,PBIOON00035808,20190425_123822_Orchestina_PBIOON00035808_F_10X_20keV or 20190430_113901_Orchestina_PBIOON00035808_F_10X_20KV_z70,Opisthothelae,Araneomorphae,Synspermiata,Oonopidae,Orc,Orchestina
Wiltonia,sp.,,X,,19,22,0.8527,3,11,2,,,,USNMENT01458809,20190430_154139_Orsolobidae_USNMENT01458809_F_10X_20KV_z70,Opisthothelae,Araneomorphae,Synspermiata,Orsolobidae,Wil,Exact Match
Orthonops,sp.,,X,,NA,,1.022,5,22,2,,,,CASENT9034616,CT1900014_Orthonops_F_CASENT9034616_IKI,Opisthothelae,Araneomorphae,Synspermiata,Caponiidae,Ort,Calponia harrisonfordi
